pizza_key,ingredient_key
1,9
1,10
1,33
1,53
1,54
1,64
2,9
2,10
2,33
2,53
2,54
2,64
3,9
3,10
3,33
3,53
3,54
3,64
4,8
4,19
4,34
4,46
5,13
5,16
5,27
5,44
5,50
5,63
6,1
6,26
6,27
6,42
6,53
6,64
7,1
7,26
7,27
7,42
7,53
7,64
8,1
8,26
8,27
8,42
8,53
8,64
9,4
9,17
9,25
9,27
9,31
9,35
9,60
10,4
10,17
10,25
10,27
10,31
10,35
10,60
11,4
11,17
11,25
11,27
11,31
11,35
11,60
12,2
12,7
12,17
12,39
12,53
12,54
13,2
13,7
13,17
13,39
13,53
13,54
14,2
14,7
14,17
14,39
14,53
14,54
15,17
15,27
15,47
15,54
15,60
15,64
16,17
16,27
16,47
16,54
16,60
16,64
17,17
17,27
17,47
17,54
17,60
17,64
18,8
18,39
18,46
18,53
18,54
19,8
19,39
19,46
19,53
19,54
20,8
20,39
20,46
20,53
20,54
21,12
21,27
21,38
21,52
21,56
21,58
22,27
22,30
22,38
22,43
22,55
23,27
23,30
23,38
23,43
23,55
24,24
24,32
24,39
24,60
24,64
25,24
25,32
25,39
25,60
25,64
26,24
26,32
26,39
26,60
26,64
27,38
27,48
27,57
28,38
28,48
28,57
29,38
29,48
29,57
30,15
30,27
30,29
30,41
30,54
30,64
31,15
31,27
31,29
31,41
31,54
31,64
32,15
32,27
32,29
32,41
32,54
32,64
33,14
33,15
33,27
33,32
33,53
33,64
34,14
34,15
34,27
34,32
34,53
34,64
35,14
35,15
35,27
35,32
35,53
35,64
36,5
36,23
36,27
36,47
36,54
36,64
36,65
37,5
37,23
37,27
37,47
37,54
37,64
37,65
38,5
38,23
38,27
38,47
38,54
38,64
38,65
39,5
39,24
39,36
39,49
39,53
39,60
39,61
40,5
40,24
40,36
40,49
40,53
40,60
40,61
41,5
41,24
41,36
41,49
41,53
41,60
41,61
42,18
42,20
42,22
42,27
42,35
42,53
42,54
42,64
43,18
43,20
43,22
43,27
43,35
43,53
43,54
43,64
44,18
44,20
44,22
44,27
44,35
44,53
44,54
44,64
45,3
45,27
45,32
45,53
45,64
46,3
46,27
46,32
46,53
46,64
47,3
47,27
47,32
47,53
47,64
48,33
48,39
48,46
49,33
49,39
49,46
50,33
50,39
50,46
51,38
51,46
52,38
52,46
53,38
53,46
54,7
54,15
54,27
54,28
54,46
54,64
55,7
55,15
55,27
55,28
55,46
55,64
56,7
56,15
56,27
56,28
56,46
56,64
57,6
57,38
57,51
58,6
58,38
58,51
59,6
59,38
59,51
60,21
60,27
60,32
60,37
60,40
60,64
61,21
61,27
61,32
61,37
61,40
61,64
62,21
62,27
62,32
62,37
62,40
62,64
63,25
63,27
63,38
63,39
63,59
64,25
64,27
64,38
64,39
64,59
65,25
65,27
65,38
65,39
65,59
66,17
66,18
66,20
66,22
66,35
66,53
66,54
66,64
67,17
67,18
67,20
67,22
67,35
67,53
67,54
67,64
68,17
68,18
68,20
68,22
68,35
68,53
68,54
68,64
69,5
69,15
69,27
69,29
69,45
69,64
70,5
70,15
70,27
70,29
70,45
70,64
71,5
71,15
71,27
71,29
71,45
71,64
72,5
72,27
72,47
72,60
72,61
72,64
73,5
73,27
73,47
73,60
73,61
73,64
74,5
74,27
74,47
74,60
74,61
74,64
75,24
75,27
75,39
75,53
75,60
76,24
76,27
76,39
76,53
76,60
77,24
77,27
77,39
77,53
77,60
78,5
78,7
78,27
78,36
78,46
78,53
78,60
78,64
79,5
79,7
79,27
79,36
79,46
79,53
79,60
79,64
80,5
80,7
80,27
80,36
80,46
80,53
80,60
80,64
81,17
81,48
81,54
81,62
81,64
82,17
82,48
82,54
82,62
82,64
83,17
83,48
83,54
83,62
83,64
84,11
84,24
84,27
84,36
84,53
84,64
85,11
85,24
85,27
85,36
85,53
85,64
86,11
86,24
86,27
86,36
86,53
86,64
87,11
87,24
87,27
87,36
87,53
87,64
88,11
88,24
88,27
88,36
88,53
88,64
89,27
89,33
89,39
89,53
89,54
89,60
89,64
89,65
90,27
90,33
90,39
90,53
90,54
90,60
90,64
90,65
91,27
91,33
91,39
91,53
91,54
91,60
91,64
91,65
