date_key,full_date,year,quarter,quarter_name,month_number,month_name,month_short,year_month,iso_week,day_of_month,day_of_week,day_name,day_short,is_weekend,day_of_year
20150101,2015-01-01,2015,1,Q1 2015,1,January,Jan,2015-01,1,1,4,Thursday,Thu,False,1
20150102,2015-01-02,2015,1,Q1 2015,1,January,Jan,2015-01,1,2,5,Friday,Fri,False,2
20150103,2015-01-03,2015,1,Q1 2015,1,January,Jan,2015-01,1,3,6,Saturday,Sat,True,3
20150104,2015-01-04,2015,1,Q1 2015,1,January,Jan,2015-01,1,4,7,Sunday,Sun,True,4
20150105,2015-01-05,2015,1,Q1 2015,1,January,Jan,2015-01,2,5,1,Monday,Mon,False,5
20150106,2015-01-06,2015,1,Q1 2015,1,January,Jan,2015-01,2,6,2,Tuesday,Tue,False,6
20150107,2015-01-07,2015,1,Q1 2015,1,January,Jan,2015-01,2,7,3,Wednesday,Wed,False,7
20150108,2015-01-08,2015,1,Q1 2015,1,January,Jan,2015-01,2,8,4,Thursday,Thu,False,8
20150109,2015-01-09,2015,1,Q1 2015,1,January,Jan,2015-01,2,9,5,Friday,Fri,False,9
20150110,2015-01-10,2015,1,Q1 2015,1,January,Jan,2015-01,2,10,6,Saturday,Sat,True,10
20150111,2015-01-11,2015,1,Q1 2015,1,January,Jan,2015-01,2,11,7,Sunday,Sun,True,11
20150112,2015-01-12,2015,1,Q1 2015,1,January,Jan,2015-01,3,12,1,Monday,Mon,False,12
20150113,2015-01-13,2015,1,Q1 2015,1,January,Jan,2015-01,3,13,2,Tuesday,Tue,False,13
20150114,2015-01-14,2015,1,Q1 2015,1,January,Jan,2015-01,3,14,3,Wednesday,Wed,False,14
20150115,2015-01-15,2015,1,Q1 2015,1,January,Jan,2015-01,3,15,4,Thursday,Thu,False,15
20150116,2015-01-16,2015,1,Q1 2015,1,January,Jan,2015-01,3,16,5,Friday,Fri,False,16
20150117,2015-01-17,2015,1,Q1 2015,1,January,Jan,2015-01,3,17,6,Saturday,Sat,True,17
20150118,2015-01-18,2015,1,Q1 2015,1,January,Jan,2015-01,3,18,7,Sunday,Sun,True,18
20150119,2015-01-19,2015,1,Q1 2015,1,January,Jan,2015-01,4,19,1,Monday,Mon,False,19
20150120,2015-01-20,2015,1,Q1 2015,1,January,Jan,2015-01,4,20,2,Tuesday,Tue,False,20
20150121,2015-01-21,2015,1,Q1 2015,1,January,Jan,2015-01,4,21,3,Wednesday,Wed,False,21
20150122,2015-01-22,2015,1,Q1 2015,1,January,Jan,2015-01,4,22,4,Thursday,Thu,False,22
20150123,2015-01-23,2015,1,Q1 2015,1,January,Jan,2015-01,4,23,5,Friday,Fri,False,23
20150124,2015-01-24,2015,1,Q1 2015,1,January,Jan,2015-01,4,24,6,Saturday,Sat,True,24
20150125,2015-01-25,2015,1,Q1 2015,1,January,Jan,2015-01,4,25,7,Sunday,Sun,True,25
20150126,2015-01-26,2015,1,Q1 2015,1,January,Jan,2015-01,5,26,1,Monday,Mon,False,26
20150127,2015-01-27,2015,1,Q1 2015,1,January,Jan,2015-01,5,27,2,Tuesday,Tue,False,27
20150128,2015-01-28,2015,1,Q1 2015,1,January,Jan,2015-01,5,28,3,Wednesday,Wed,False,28
20150129,2015-01-29,2015,1,Q1 2015,1,January,Jan,2015-01,5,29,4,Thursday,Thu,False,29
20150130,2015-01-30,2015,1,Q1 2015,1,January,Jan,2015-01,5,30,5,Friday,Fri,False,30
20150131,2015-01-31,2015,1,Q1 2015,1,January,Jan,2015-01,5,31,6,Saturday,Sat,True,31
20150201,2015-02-01,2015,1,Q1 2015,2,February,Feb,2015-02,5,1,7,Sunday,Sun,True,32
20150202,2015-02-02,2015,1,Q1 2015,2,February,Feb,2015-02,6,2,1,Monday,Mon,False,33
20150203,2015-02-03,2015,1,Q1 2015,2,February,Feb,2015-02,6,3,2,Tuesday,Tue,False,34
20150204,2015-02-04,2015,1,Q1 2015,2,February,Feb,2015-02,6,4,3,Wednesday,Wed,False,35
20150205,2015-02-05,2015,1,Q1 2015,2,February,Feb,2015-02,6,5,4,Thursday,Thu,False,36
20150206,2015-02-06,2015,1,Q1 2015,2,February,Feb,2015-02,6,6,5,Friday,Fri,False,37
20150207,2015-02-07,2015,1,Q1 2015,2,February,Feb,2015-02,6,7,6,Saturday,Sat,True,38
20150208,2015-02-08,2015,1,Q1 2015,2,February,Feb,2015-02,6,8,7,Sunday,Sun,True,39
20150209,2015-02-09,2015,1,Q1 2015,2,February,Feb,2015-02,7,9,1,Monday,Mon,False,40
20150210,2015-02-10,2015,1,Q1 2015,2,February,Feb,2015-02,7,10,2,Tuesday,Tue,False,41
20150211,2015-02-11,2015,1,Q1 2015,2,February,Feb,2015-02,7,11,3,Wednesday,Wed,False,42
20150212,2015-02-12,2015,1,Q1 2015,2,February,Feb,2015-02,7,12,4,Thursday,Thu,False,43
20150213,2015-02-13,2015,1,Q1 2015,2,February,Feb,2015-02,7,13,5,Friday,Fri,False,44
20150214,2015-02-14,2015,1,Q1 2015,2,February,Feb,2015-02,7,14,6,Saturday,Sat,True,45
20150215,2015-02-15,2015,1,Q1 2015,2,February,Feb,2015-02,7,15,7,Sunday,Sun,True,46
20150216,2015-02-16,2015,1,Q1 2015,2,February,Feb,2015-02,8,16,1,Monday,Mon,False,47
20150217,2015-02-17,2015,1,Q1 2015,2,February,Feb,2015-02,8,17,2,Tuesday,Tue,False,48
20150218,2015-02-18,2015,1,Q1 2015,2,February,Feb,2015-02,8,18,3,Wednesday,Wed,False,49
20150219,2015-02-19,2015,1,Q1 2015,2,February,Feb,2015-02,8,19,4,Thursday,Thu,False,50
20150220,2015-02-20,2015,1,Q1 2015,2,February,Feb,2015-02,8,20,5,Friday,Fri,False,51
20150221,2015-02-21,2015,1,Q1 2015,2,February,Feb,2015-02,8,21,6,Saturday,Sat,True,52
20150222,2015-02-22,2015,1,Q1 2015,2,February,Feb,2015-02,8,22,7,Sunday,Sun,True,53
20150223,2015-02-23,2015,1,Q1 2015,2,February,Feb,2015-02,9,23,1,Monday,Mon,False,54
20150224,2015-02-24,2015,1,Q1 2015,2,February,Feb,2015-02,9,24,2,Tuesday,Tue,False,55
20150225,2015-02-25,2015,1,Q1 2015,2,February,Feb,2015-02,9,25,3,Wednesday,Wed,False,56
20150226,2015-02-26,2015,1,Q1 2015,2,February,Feb,2015-02,9,26,4,Thursday,Thu,False,57
20150227,2015-02-27,2015,1,Q1 2015,2,February,Feb,2015-02,9,27,5,Friday,Fri,False,58
20150228,2015-02-28,2015,1,Q1 2015,2,February,Feb,2015-02,9,28,6,Saturday,Sat,True,59
20150301,2015-03-01,2015,1,Q1 2015,3,March,Mar,2015-03,9,1,7,Sunday,Sun,True,60
20150302,2015-03-02,2015,1,Q1 2015,3,March,Mar,2015-03,10,2,1,Monday,Mon,False,61
20150303,2015-03-03,2015,1,Q1 2015,3,March,Mar,2015-03,10,3,2,Tuesday,Tue,False,62
20150304,2015-03-04,2015,1,Q1 2015,3,March,Mar,2015-03,10,4,3,Wednesday,Wed,False,63
20150305,2015-03-05,2015,1,Q1 2015,3,March,Mar,2015-03,10,5,4,Thursday,Thu,False,64
20150306,2015-03-06,2015,1,Q1 2015,3,March,Mar,2015-03,10,6,5,Friday,Fri,False,65
20150307,2015-03-07,2015,1,Q1 2015,3,March,Mar,2015-03,10,7,6,Saturday,Sat,True,66
20150308,2015-03-08,2015,1,Q1 2015,3,March,Mar,2015-03,10,8,7,Sunday,Sun,True,67
20150309,2015-03-09,2015,1,Q1 2015,3,March,Mar,2015-03,11,9,1,Monday,Mon,False,68
20150310,2015-03-10,2015,1,Q1 2015,3,March,Mar,2015-03,11,10,2,Tuesday,Tue,False,69
20150311,2015-03-11,2015,1,Q1 2015,3,March,Mar,2015-03,11,11,3,Wednesday,Wed,False,70
20150312,2015-03-12,2015,1,Q1 2015,3,March,Mar,2015-03,11,12,4,Thursday,Thu,False,71
20150313,2015-03-13,2015,1,Q1 2015,3,March,Mar,2015-03,11,13,5,Friday,Fri,False,72
20150314,2015-03-14,2015,1,Q1 2015,3,March,Mar,2015-03,11,14,6,Saturday,Sat,True,73
20150315,2015-03-15,2015,1,Q1 2015,3,March,Mar,2015-03,11,15,7,Sunday,Sun,True,74
20150316,2015-03-16,2015,1,Q1 2015,3,March,Mar,2015-03,12,16,1,Monday,Mon,False,75
20150317,2015-03-17,2015,1,Q1 2015,3,March,Mar,2015-03,12,17,2,Tuesday,Tue,False,76
20150318,2015-03-18,2015,1,Q1 2015,3,March,Mar,2015-03,12,18,3,Wednesday,Wed,False,77
20150319,2015-03-19,2015,1,Q1 2015,3,March,Mar,2015-03,12,19,4,Thursday,Thu,False,78
20150320,2015-03-20,2015,1,Q1 2015,3,March,Mar,2015-03,12,20,5,Friday,Fri,False,79
20150321,2015-03-21,2015,1,Q1 2015,3,March,Mar,2015-03,12,21,6,Saturday,Sat,True,80
20150322,2015-03-22,2015,1,Q1 2015,3,March,Mar,2015-03,12,22,7,Sunday,Sun,True,81
20150323,2015-03-23,2015,1,Q1 2015,3,March,Mar,2015-03,13,23,1,Monday,Mon,False,82
