pizza_key,pizza_name_id,product_code,pizza_name,pizza_short_name,pizza_category,pizza_size,size_label,size_sort_order,unit_price,min_unit_price,max_unit_price,price_is_stable,ingredient_count,is_vegetarian,pizza_ingredients
1,bbq_ckn_s,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,S,Small,1,12.75,12.75,12.75,True,6,False,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
2,bbq_ckn_m,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,M,Medium,2,16.75,16.75,16.75,True,6,False,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
3,bbq_ckn_l,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,L,Large,3,20.75,20.75,20.75,True,6,False,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
4,big_meat_s,big_meat,The Big Meat Pizza,Big Meat,Classic,S,Small,1,12.0,12.0,12.0,True,4,False,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
5,brie_carre_s,brie_carre,The Brie Carre Pizza,Brie Carre,Supreme,S,Small,1,23.65,23.65,23.65,True,6,False,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
6,calabrese_s,calabrese,The Calabrese Pizza,Calabrese,Supreme,S,Small,1,12.25,12.25,12.25,True,6,False,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
7,calabrese_m,calabrese,The Calabrese Pizza,Calabrese,Supreme,M,Medium,2,16.25,16.25,16.25,True,6,False,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
8,calabrese_l,calabrese,The Calabrese Pizza,Calabrese,Supreme,L,Large,3,20.25,20.25,20.25,True,6,False,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
9,cali_ckn_s,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,S,Small,1,12.75,12.75,12.75,True,7,False,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
10,cali_ckn_m,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,M,Medium,2,16.75,16.75,16.75,True,7,False,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
11,cali_ckn_l,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,L,Large,3,20.75,20.75,20.75,True,7,False,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
