order_item_id,order_id,date_key,time_key,pizza_key,order_ts,quantity,unit_price,total_price,total_price_source,price_variance_flag,order_line_count,order_pizza_count,order_total_value
1,1,20150101,11,28,2015-01-01 11:38:36,1,13.25,13.25,13.25,False,1,1,13.25
2,2,20150101,11,19,2015-01-01 11:57:40,1,16.0,16.0,16.0,False,5,5,92.0
3,2,20150101,11,21,2015-01-01 11:57:40,1,18.5,18.5,18.5,False,5,5,92.0
4,2,20150101,11,35,2015-01-01 11:57:40,1,20.75,20.75,20.75,False,5,5,92.0
5,2,20150101,11,43,2015-01-01 11:57:40,1,16.0,16.0,16.0,False,5,5,92.0
6,2,20150101,11,83,2015-01-01 11:57:40,1,20.75,20.75,20.75,False,5,5,92.0
7,3,20150101,12,34,2015-01-01 12:12:28,1,16.5,16.5,16.5,False,2,2,37.25
8,3,20150101,12,59,2015-01-01 12:12:28,1,20.75,20.75,20.75,False,2,2,37.25
9,4,20150101,12,34,2015-01-01 12:16:31,1,16.5,16.5,16.5,False,1,1,16.5
10,5,20150101,12,34,2015-01-01 12:21:30,1,16.5,16.5,16.5,False,1,1,16.5
11,6,20150101,12,1,2015-01-01 12:29:36,1,12.75,12.75,12.75,False,2,2,24.75
12,6,20150101,12,84,2015-01-01 12:29:36,1,12.0,12.0,12.0,False,2,2,24.75
13,7,20150101,12,78,2015-01-01 12:50:37,1,12.5,12.5,12.5,False,1,1,12.5
14,8,20150101,12,78,2015-01-01 12:51:37,1,12.5,12.5,12.5,False,1,1,12.5
15,9,20150101,12,18,2015-01-01 12:52:01,1,12.0,12.0,12.0,False,9,9,143.25
16,9,20150101,12,24,2015-01-01 12:52:01,1,12.0,12.0,12.0,False,9,9,143.25
17,9,20150101,12,32,2015-01-01 12:52:01,1,20.5,20.5,20.5,False,9,9,143.25
18,9,20150101,12,35,2015-01-01 12:52:01,1,20.75,20.75,20.75,False,9,9,143.25
19,9,20150101,12,33,2015-01-01 12:52:01,1,12.5,12.5,12.5,False,9,9,143.25
20,9,20150101,12,42,2015-01-01 12:52:01,1,12.0,12.0,12.0,False,9,9,143.25
21,9,20150101,12,71,2015-01-01 12:52:01,1,20.75,20.75,20.75,False,9,9,143.25
22,9,20150101,12,74,2015-01-01 12:52:01,1,20.75,20.75,20.75,False,9,9,143.25
23,9,20150101,12,89,2015-01-01 12:52:01,1,12.0,12.0,12.0,False,9,9,143.25
24,10,20150101,13,44,2015-01-01 13:00:15,1,20.25,20.25,20.25,False,2,2,41.0
25,10,20150101,13,68,2015-01-01 13:00:15,1,20.75,20.75,20.75,False,2,2,41.0
26,11,20150101,13,3,2015-01-01 13:02:59,1,20.75,20.75,20.75,False,4,4,73.5
27,11,20150101,13,11,2015-01-01 13:02:59,1,20.75,20.75,20.75,False,4,4,73.5
28,11,20150101,13,10,2015-01-01 13:02:59,1,16.75,16.75,16.75,False,4,4,73.5
29,11,20150101,13,53,2015-01-01 13:02:59,1,15.25,15.25,15.25,False,4,4,73.5
30,12,20150101,13,11,2015-01-01 13:04:41,1,20.75,20.75,20.75,False,4,4,70.75
31,12,20150101,13,9,2015-01-01 13:04:41,1,12.75,12.75,12.75,False,4,4,70.75
32,12,20150101,13,17,2015-01-01 13:04:41,1,20.75,20.75,20.75,False,4,4,70.75
33,12,20150101,13,34,2015-01-01 13:04:41,1,16.5,16.5,16.5,False,4,4,70.75
34,13,20150101,13,44,2015-01-01 13:11:55,1,20.25,20.25,20.25,False,1,1,20.25
35,14,20150101,13,84,2015-01-01 13:14:19,1,12.0,12.0,12.0,False,1,1,12.0
36,15,20150101,13,4,2015-01-01 13:33:00,1,12.0,12.0,12.0,False,4,4,63.25
37,15,20150101,13,21,2015-01-01 13:33:00,1,18.5,18.5,18.5,False,4,4,63.25
38,15,20150101,13,65,2015-01-01 13:33:00,1,20.75,20.75,20.75,False,4,4,63.25
39,15,20150101,13,84,2015-01-01 13:33:00,1,12.0,12.0,12.0,False,4,4,63.25
40,16,20150101,13,23,2015-01-01 13:34:07,1,17.95,17.95,17.95,False,3,3,50.7
41,16,20150101,13,45,2015-01-01 13:34:07,1,12.0,12.0,12.0,False,3,3,50.7
42,16,20150101,13,83,2015-01-01 13:34:07,1,20.75,20.75,20.75,False,3,3,50.7
43,17,20150101,13,3,2015-01-01 13:53:00,1,20.75,20.75,20.75,False,10,11,184.5
44,17,20150101,13,7,2015-01-01 13:53:00,1,16.25,16.25,16.25,False,10,11,184.5
45,17,20150101,13,21,2015-01-01 13:53:00,1,18.5,18.5,18.5,False,10,11,184.5
46,17,20150101,13,22,2015-01-01 13:53:00,1,14.75,14.75,14.75,False,10,11,184.5
47,17,20150101,13,34,2015-01-01 13:53:00,1,16.5,16.5,16.5,False,10,11,184.5
48,17,20150101,13,36,2015-01-01 13:53:00,1,12.75,12.75,12.75,False,10,11,184.5
49,17,20150101,13,40,2015-01-01 13:53:00,2,16.0,32.0,32.0,False,10,11,184.5
50,17,20150101,13,44,2015-01-01 13:53:00,1,20.25,20.25,20.25,False,10,11,184.5
51,17,20150101,13,54,2015-01-01 13:53:00,1,12.5,12.5,12.5,False,10,11,184.5
52,17,20150101,13,77,2015-01-01 13:53:00,1,20.25,20.25,20.25,False,10,11,184.5
53,18,20150101,13,47,2015-01-01 13:57:08,1,20.5,20.5,20.5,False,1,1,20.5
54,19,20150101,13,32,2015-01-01 13:59:09,1,20.5,20.5,20.5,False,2,2,40.75
55,19,20150101,13,62,2015-01-01 13:59:09,1,20.25,20.25,20.25,False,2,2,40.75
56,20,20150101,14,4,2015-01-01 14:03:08,1,12.0,12.0,12.0,False,2,2,30.5
57,20,20150101,14,21,2015-01-01 14:03:08,1,18.5,18.5,18.5,False,2,2,30.5
58,21,20150101,14,32,2015-01-01 14:14:29,1,20.5,20.5,20.5,False,1,1,20.5
59,22,20150101,14,21,2015-01-01 14:16:26,1,18.5,18.5,18.5,False,3,3,55.25
60,22,20150101,14,31,2015-01-01 14:16:26,1,16.0,16.0,16.0,False,3,3,55.25
61,22,20150101,14,68,2015-01-01 14:16:26,1,20.75,20.75,20.75,False,3,3,55.25
62,23,20150101,14,66,2015-01-01 14:19:03,1,12.75,12.75,12.75,False,1,1,12.75
63,24,20150101,14,2,2015-01-01 14:23:01,1,16.75,16.75,16.75,False,4,4,57.75
64,24,20150101,14,31,2015-01-01 14:23:01,1,16.0,16.0,16.0,False,4,4,57.75
65,24,20150101,14,52,2015-01-01 14:23:01,1,12.5,12.5,12.5,False,4,4,57.75
66,24,20150101,14,57,2015-01-01 14:23:01,1,12.5,12.5,12.5,False,4,4,57.75
67,25,20150101,14,61,2015-01-01 14:44:44,1,16.25,16.25,16.25,False,2,2,37.0
68,25,20150101,14,83,2015-01-01 14:44:44,1,20.75,20.75,20.75,False,2,2,37.0
69,26,20150101,14,18,2015-01-01 14:54:26,1,12.0,12.0,12.0,False,2,2,32.25
70,26,20150101,14,91,2015-01-01 14:54:26,1,20.25,20.25,20.25,False,2,2,32.25
71,27,20150101,15,3,2015-01-01 15:11:17,1,20.75,20.75,20.75,False,3,3,57.0
72,27,20150101,15,19,2015-01-01 15:11:17,1,16.0,16.0,16.0,False,3,3,57.0
73,27,20150101,15,77,2015-01-01 15:11:17,1,20.25,20.25,20.25,False,3,3,57.0
